sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
17,-0.00016193049152207097,-2.5276512715208814e-05,-0.0008070972835412249,-0.00012582025192386936,-0.0008070972835412249,-0.00012582025192386936,-0.0019055866,-0.00029230377,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
18,-0.0001788192032108782,-2.7907498497370402e-05,-0.0008444355844403617,-0.0001315492891080794,-0.0008444355844403617,-0.0001315492891080794,-0.0018669151,-0.00028645186,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
19,-0.00019644151565444191,-3.065042305934185e-05,-0.0008811156221781857,-0.00013714622809857246,-0.0008811156221781857,-0.00013714622809857246,-0.0018340019,-0.00027984695,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
20,-0.00021478254202520475,-3.350304545165273e-05,-0.0009170513185381424,-0.00014263111961554387,-0.0009170513185381424,-0.00014263111961554387,-0.0017967848,-0.00027424458,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
21,-0.0002338276967930142,-3.646316943559214e-05,-0.0009522577383904718,-0.00014800619919697056,-0.0009522577383904718,-0.00014800619919697056,-0.0017603211,-0.000268754,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
22,-0.0002535519284720067,-3.9527703102066887e-05,-0.0009862115839496255,-0.00015322668332373723,-0.0009862115839496255,-0.00015322668332373723,-0.0016976923,-0.00026102422,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
23,-0.0002739414570532972,-4.269455637768261e-05,-0.0010194764290645253,-0.0001583426637807861,-0.0010194764290645253,-0.0001583426637807861,-0.0016632424,-0.00025579904,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
24,-0.00029498278279788793,-4.596168087118713e-05,-0.001052066287229536,-0.00016335622467522626,-0.001052066287229536,-0.00016335622467522626,-0.001629493,-0.00025067804,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
25,-0.00031666267997934486,-4.9327069209539335e-05,-0.0010839948590728454,-0.00016826941691761022,-0.0010839948590728454,-0.00016826941691761022,-0.0015964286,-0.0002456596,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
26,-0.0003389681907719933,-5.278875426483865e-05,-0.001115275539632421,-0.00017308425276496564,-0.001115275539632421,-0.00017308425276496564,-0.0015640341,-0.00024074179,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
