sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
23,0.0002772624316276051,-0.0001451496148320075,0.000983395637376816,-0.000592092175338621,0.000983395637376816,-0.000592092175338621,0.0014818956,-0.001076701,0.0,0.0,[],0.03686345,58.762394,58.81773,0.14140469,16.296,11.99
24,0.00029750996338407277,-0.00015741303816412257,0.0010123765878233826,-0.0006131711666057527,0.0010123765878233826,-0.0006131711666057527,0.0014490476,-0.0010539496,0.0,0.0,[],0.036836125,58.762394,58.81773,0.14140469,16.296,11.99
25,0.00031832423384912543,-0.0001700891120481174,0.0010407135232526343,-0.0006338036941997416,0.0010407135232526343,-0.0006338036941997416,0.0014168468,-0.0010316264,0.0,0.0,[],0.03680818,58.762394,58.81773,0.14140469,16.296,11.99
26,0.0003397362666510162,-0.00018317011676572293,0.0010706016400945373,-0.0006540502358802769,0.0010706016400945373,-0.0006540502358802769,0.0014944059,-0.0010123271,0.0,0.0,[],0.036779616,58.762394,58.81773,0.14140469,16.296,11.99
27,0.0003617327292158734,-0.00019664743347220793,0.0010998231282428605,-0.0006738658353242499,0.0010998231282428605,-0.0006738658353242499,0.0014610745,-0.00099078,0.0,0.0,[],0.03675042,58.762394,58.81773,0.14140469,16.296,11.99
28,0.0003843005561793689,-0.00021051260339390867,0.0011283913481747732,-0.0006932584960850363,0.0011283913481747732,-0.0006932584960850363,0.001428411,-0.00096963305,0.0,0.0,[],0.036720593,58.762394,58.81773,0.14140469,16.296,11.99
29,0.00040742693752690687,-0.000224757325754581,0.0011563190673768986,-0.0007122361180336156,0.0011563190673768986,-0.0007122361180336156,0.001396386,-0.00094888115,0.0,0.0,[],0.03669012,58.762394,58.81773,0.14140469,16.296,11.99
30,0.00043109931339131436,-0.00023937345435570025,0.0011836187932203757,-0.0007308064300559636,0.0011836187932203757,-0.0007308064300559636,0.0013649863,-0.0009285156,0.0,0.0,[],0.036659,58.762394,58.81773,0.14140469,16.296,11.99
31,0.00045530537405284125,-0.0002543529938293432,0.0012103030330763431,-0.0007489769736821472,0.0012103030330763431,-0.0007489769736821472,0.001334212,-0.00090852723,0.0,0.0,[],0.036627226,58.762394,58.81773,0.14140469,16.296,11.99
32,0.00048003304294979903,-0.0002696880970188431,0.0012363834448478883,-0.0007667551594749966,0.0012363834448478883,-0.0007667551594749966,0.0013040206,-0.00088890933,0.0,0.0,[],0.036594797,58.762394,58.81773,0.14140469,16.296,11.99
33,0.0005052704881381943,-0.00028537106221392604,0.0012618722594197607,-0.0007841482597541471,0.0012618722594197607,-0.0007841482597541471,0.0012744408,-0.000869655,0.0,0.0,[],0.03656171,58.762394,58.81773,0.14140469,16.296,11.99
34,0.0005310060996998801,-0.0003013943290761745,0.00128678057808429,-0.000801163343112421,0.00128678057808429,-0.000801163343112421,0.001245416,-0.00085075415,0.0,0.0,[],0.03652795,58.762394,58.81773,0.14140469,16.296,11.99
35,0.0005572284953450435,-0.00031775047663813895,0.0013111197822581744,-0.0008178073780982231,0.0013111197822581744,-0.0008178073780982231,0.0012169603,-0.00083220174,0.0,0.0,[],0.036493514,58.762394,58.81773,0.14140469,16.296,11.99
36,0.0005839326076602447,-0.000334433323500889,0.00133520561576006,-0.0008341423431375006,0.00133520561576006,-0.0008341423431375006,0.0012042917,-0.00081674824,0.0,0.0,[],0.0364584,60.762394,58.81773,0.14140469,16.296,11.99
