sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
31,-0.00045944444693304834,-7.147549301407709e-05,-0.0012624087685253471,-0.00019575068154153996,-0.0012624087685253471,-0.00019575068154153996,-0.0014115963,-0.00021759175,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
32,-0.00048524580455705296,-7.547580095888407e-05,-0.0012900678812002297,-0.00020001539724034956,-0.0012900678812002297,-0.00020001539724034956,-0.0013829557,-0.00021323579,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
33,-0.0005115891198875034,-7.955969565955457e-05,-0.0013171657665225212,-0.00020419473503352492,-0.0013171657665225212,-0.00020419473503352492,-0.0013548943,-0.00020896689,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
34,-0.0005384633957146434,-8.372550370040699e-05,-0.001343713791357004,-0.00020829040204262128,-0.001343713791357004,-0.00020829040204262128,-0.0013274013,-0.00020478336,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
35,-0.0005658578596194275,-8.797158528977888e-05,-0.001369723195239203,-0.00021230407946859486,-0.001369723195239203,-0.00021230407946859486,-0.0013004702,-0.00020068388,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
36,-0.0005937552221803344,-9.229472049810284e-05,-0.0013948681280453457,-0.00021615676041619736,-0.0013948681280453457,-0.00021615676041619736,-0.0012572467,-0.00019263405,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
37,-0.0006221452792306082,-9.669336686783936e-05,-0.0014195028525136877,-0.00021993231848682626,-0.0014195028525136877,-0.00021993231848682626,-0.0012317363,-0.0001887779,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
38,-0.0006510180337136262,-0.00010116601284607896,-0.0014436377241509035,-0.0002236322989119799,-0.0014436377241509035,-0.0002236322989119799,-0.0012067436,-0.00018499902,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
39,-0.0006803660802688683,-0.00010571136321232189,-0.0014674023277621018,-0.00022726751831214642,-0.0014674023277621018,-0.00022726751831214642,-0.0011882302,-0.00018176097,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
40,-0.0007101799917654717,-0.00011032795874598378,-0.0014906955748301698,-0.00023082977668309468,-0.0014906955748301698,-0.00023082977668309468,-0.0011646624,-0.00017811292,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
