sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
10,9.440582653041929e-05,3.5807017820843613e-06,0.0007587447980768047,2.9204330530774314e-05,0.0007587447980768047,2.9204330530774314e-05,0.0,0.0,[],0.038583238,29.16971,29.18126,0.0,0.0,0.0
11,0.0001107808229426155,4.21300311700179e-06,0.0008187498206098098,3.1615066745871445e-05,0.0008187498206098098,3.1615066745871445e-05,0.0,0.0,[],0.038572013,29.16971,29.18126,0.0,0.0,0.0
12,0.00012832868080295157,4.89250617192738e-06,0.000877392893016804,3.397515274627949e-05,0.000877392893016804,3.397515274627949e-05,0.0,0.0,[],0.03856037,29.16971,29.18126,0.0,0.0,0.0
13,0.0001470248485566117,5.618191648864013e-06,0.000934808387683006,3.628427384683164e-05,0.000934808387683006,3.628427384683164e-05,0.0,0.0,[],0.038548306,29.16971,29.18126,0.0,0.0,0.0
14,0.00016684323018125724,6.389086488525208e-06,0.0009909190812322777,3.8544741983059794e-05,0.0009909190812322777,3.8544741983059794e-05,0.0,0.0,[],0.038535807,29.16971,29.18126,0.0,0.0,0.0
15,0.00018776157194224651,7.204454200291366e-06,0.001045917088049464,4.0768385588307865e-05,0.001045917088049464,4.0768385588307865e-05,0.0,0.0,[],0.038522877,29.16971,29.18126,0.0,0.0,0.0
16,0.00020977221211069264,8.063264390330005e-06,0.0011005320084223058,4.2940509501931956e-05,0.0011005320084223058,4.2940509501931956e-05,0.0,0.0,[],0.0385095,29.16971,29.18126,0.0,0.0,0.0
17,0.00023285025003133341,8.964598700913484e-06,0.001153901896032039,4.506671552917396e-05,0.001153901896032039,4.506671552917396e-05,0.0,0.0,[],0.03849567,29.16971,29.18126,0.0,0.0,0.0
18,0.0002569713217962999,9.907556459438637e-06,0.0012060535882483236,4.714788792625768e-05,0.0012060535882483236,4.714788792625768e-05,0.0,0.0,[],0.03848138,29.16971,29.18126,0.0,0.0,0.0
19,0.00028211160046339497,1.0891254773923719e-05,0.0012570139333547559,4.91849157242541e-05,0.0012570139333547559,4.91849157242541e-05,0.0,0.0,[],0.03846662,29.16971,29.18126,0.0,0.0,0.0
20,0.00030824776535155247,1.191482925605669e-05,0.0013068082444078755,5.117872410664859e-05,0.0013068082444078755,5.117872410664859e-05,0.0,0.0,[],0.03845139,29.16971,29.18126,0.0,0.0,0.0
21,0.0003353570017497986,1.2977432420484546e-05,0.001355461819912307,5.3130158221392776e-05,0.001355461819912307,5.3130158221392776e-05,0.0,0.0,[],0.038435675,29.16971,29.18126,0.0,0.0,0.0
22,0.0003634168019925709,1.4078181366130593e-05,0.0014029900121386163,5.503744728230231e-05,0.0014029900121386163,5.503744728230231e-05,0.0,0.0,[],0.03841947,29.16971,29.18126,0.0,0.0,0.0
23,0.00039240507627255275,1.5216260271699866e-05,0.0014494137139990926,5.690394527846365e-05,0.0014494137139990926,5.690394527846365e-05,0.0,0.0,[],0.038402773,29.16971,29.18126,0.0,0.0,0.0
24,0.00042229910046444265,1.6391117724197103e-05,0.0014947012095944956,5.8742872624861775e-05,0.0014947012095944956,5.8742872624861775e-05,0.0,0.0,[],0.03838557,29.16971,29.18126,0.0,0.0,0.0
